epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,8.94443,0.92303,1.36995,2.94615,0.97148,0,0.00804,0.68333,0.25705,0.16913,0.00902,0.76667,0.27154,0.19695,0.4835,0.82817,3.65618,0.45777,0,0.000606061,0.000606061,0.000606061
2,15.8772,0.91405,1.40631,2.20485,0.92621,0,0.00863,0.73333,0.24931,0.16484,0.00882,0.75,0.23692,0.17428,0.56902,1.47875,3.69587,0.4657,0,0.00125173,0.00125173,0.00125173
3,23.6092,0.98234,1.47563,1.83998,0.98253,0,0.00745,0.63333,0.10829,0.03471,0.00863,0.73333,0.12452,0.08915,0.60547,1.17252,3.86005,0.54021,0,0.00187539,0.00187539,0.00187539
4,30.6698,1.06191,1.66336,1.60067,1.02167,0,0.00667,0.56667,0.10275,0.05017,0.00686,0.58333,0.01703,0.00651,0.63331,3.75869,3.86753,0.53619,0,0.001901,0.001901,0.001901
5,37.9758,1.18339,1.63299,1.75537,1.04995,0,0.5785,0.25,0.2841,0.14831,0.57576,0.24886,0.28019,0.18221,0.74919,1.40034,3.88282,0.56565,0,0.001868,0.001868,0.001868
6,44.9384,1.083,1.27877,1.54383,1.00848,0,0.33025,0.18087,0.13429,0.06583,0.36069,0.19753,0.14628,0.09445,0.61171,1.17569,4.83744,0.54499,0,0.001835,0.001835,0.001835
7,52.3285,1.03509,1.33461,1.53116,0.99971,0,0.48936,0.22376,0.26021,0.16755,0.48936,0.22376,0.25722,0.1679,0.64175,1.41872,4.54299,0.53418,0,0.001802,0.001802,0.001802
8,59.3677,0.94192,1.20454,1.24577,0.96785,0,0.65029,0.40296,0.42759,0.28003,0.65029,0.40296,0.44883,0.33047,0.63035,1.10883,4.50084,0.5221,0,0.001769,0.001769,0.001769
9,66.1447,0.93756,1.18883,1.18588,0.96486,0,0.80077,0.31667,0.36698,0.26447,0.80077,0.31667,0.3718,0.29626,0.55245,1.01662,6.57536,0.50222,0,0.001736,0.001736,0.001736
10,72.9029,0.97284,1.19941,1.27494,0.987,0,0.60315,0.48132,0.45862,0.33447,0.60315,0.48132,0.46132,0.34727,0.53711,0.82651,4.28644,0.4889,0,0.001703,0.001703,0.001703
11,79.6569,0.89388,1.06226,1.12044,0.9374,0,0.53624,0.53333,0.50795,0.37479,0.53624,0.53333,0.50798,0.37151,0.51674,0.82296,5.7584,0.48451,0,0.00167,0.00167,0.00167
12,87.0291,0.91366,1.10109,1.15259,0.95609,0,0.53696,0.58333,0.49037,0.35728,0.53696,0.58333,0.48882,0.3578,0.51402,0.81285,5.21756,0.48179,0,0.001637,0.001637,0.001637
13,93.9616,0.86833,1.01784,1.13733,0.94175,0,0.57371,0.55,0.52984,0.41051,0.57371,0.55,0.52943,0.38728,0.4862,0.83311,4.96594,0.47302,0,0.001604,0.001604,0.001604
14,100.829,0.83763,1.03423,1.02116,0.92239,0,0.76514,0.65159,0.72485,0.56177,0.76514,0.65159,0.72446,0.52726,0.45141,0.76863,3.08062,0.48109,0,0.001571,0.001571,0.001571
15,107.928,0.85311,0.96567,0.99463,0.92423,0,0.87822,0.65,0.76125,0.58839,0.87822,0.65,0.7599,0.51624,0.4574,0.79996,3.22971,0.47817,0,0.001538,0.001538,0.001538
16,114.573,0.74315,0.87158,0.96757,0.90445,0,0.8342,0.66667,0.76477,0.55818,0.8342,0.66667,0.76032,0.50931,0.49197,0.79253,4.50944,0.49104,0,0.001505,0.001505,0.001505
17,121.495,0.7744,0.88137,0.9256,0.90117,0,0.87801,0.71979,0.81543,0.59926,0.87801,0.71979,0.80108,0.51788,0.47262,0.78474,4.51657,0.48459,0,0.001472,0.001472,0.001472
18,128.657,0.78707,0.90033,0.90216,0.92552,0,0.94873,0.76667,0.84934,0.61343,0.92811,0.75,0.81904,0.48861,0.4844,0.77176,2.54534,0.4937,0,0.001439,0.001439,0.001439
19,135.72,0.77304,0.89642,0.93715,0.89295,0,0.87794,0.76667,0.84924,0.61361,0.87794,0.76667,0.84198,0.51499,0.46004,0.80751,1.97618,0.48241,0,0.001406,0.001406,0.001406
20,143.134,0.74052,0.88697,0.87966,0.89298,0,0.85952,0.81667,0.85386,0.62148,0.84134,0.8,0.82847,0.5003,0.46561,0.72749,2.23825,0.50202,0,0.001373,0.001373,0.001373
21,150.056,0.76241,0.84843,0.93151,0.92423,0,0.89709,0.8,0.85044,0.62013,0.88078,0.73333,0.81447,0.50414,0.47507,0.66499,2.72269,0.51306,0,0.00134,0.00134,0.00134
22,156.798,0.76205,0.8556,0.82271,0.88893,0,0.88495,0.83333,0.85839,0.62496,0.84955,0.8,0.81291,0.44618,0.4433,0.69442,2.13521,0.49405,0,0.001307,0.001307,0.001307
23,163.438,0.68514,0.75718,0.84295,0.90037,0,0.86444,0.86667,0.86767,0.61963,0.76584,0.76667,0.75296,0.40969,0.43312,0.7282,2.00701,0.47989,0,0.001274,0.001274,0.001274
24,170.166,0.73594,0.88651,0.8,0.8988,0,0.86055,0.82289,0.85824,0.64778,0.83789,0.77539,0.80912,0.45319,0.41291,0.73555,1.74194,0.47183,0,0.001241,0.001241,0.001241
25,177.288,0.71414,0.8157,0.80297,0.90628,0,0.89645,0.81667,0.87151,0.67747,0.90684,0.81123,0.86883,0.54147,0.41152,0.79934,1.64815,0.4703,0,0.001208,0.001208,0.001208
26,184.171,0.70557,0.81482,0.77138,0.89259,0,0.97288,0.76667,0.87059,0.67768,0.97288,0.76667,0.86112,0.53149,0.41405,0.82131,1.76117,0.47566,0,0.001175,0.001175,0.001175
27,191.045,0.66146,0.76242,0.78736,0.8889,0,0.90532,0.78333,0.86621,0.6512,0.92578,0.78333,0.8525,0.4613,0.41709,0.73506,2.05691,0.46825,0,0.001142,0.001142,0.001142
28,198.094,0.69958,0.78119,0.80088,0.92359,0,0.94155,0.80553,0.86965,0.65316,0.90236,0.7702,0.81043,0.47665,0.42501,0.718,1.84914,0.46265,0,0.001109,0.001109,0.001109
29,205.038,0.70737,0.75159,0.78239,0.90793,0,0.97534,0.8,0.87386,0.66633,0.93428,0.76667,0.81176,0.5072,0.4028,0.66524,1.76061,0.46095,0,0.001076,0.001076,0.001076
30,211.627,0.66717,0.74443,0.72392,0.89834,0,0.98065,0.84487,0.88824,0.68771,0.98065,0.84487,0.85966,0.55416,0.41159,0.75053,1.73922,0.47369,0,0.001043,0.001043,0.001043
31,219.179,0.68259,0.75545,0.72209,0.8623,0,0.98068,0.84605,0.88959,0.6773,0.98068,0.84605,0.8538,0.51624,0.41046,0.74954,1.648,0.47504,0,0.00101,0.00101,0.00101
32,226.203,0.66523,0.70693,0.70382,0.87337,0,0.98076,0.84939,0.89402,0.67474,0.98076,0.84939,0.85265,0.49942,0.38853,0.66165,1.64453,0.46885,0,0.000977,0.000977,0.000977
33,233.187,0.61713,0.72088,0.6858,0.86861,0,0.93932,0.88333,0.88907,0.67749,0.96379,0.83333,0.8505,0.47678,0.38209,0.58202,1.8444,0.47477,0,0.000944,0.000944,0.000944
34,239.792,0.61294,0.67184,0.69282,0.87262,0,0.96358,0.88184,0.88974,0.67879,0.92574,0.83106,0.86153,0.4976,0.39931,0.57909,1.88098,0.47922,0,0.000911,0.000911,0.000911
35,246.291,0.57082,0.62849,0.64239,0.84881,0,0.96038,0.86667,0.90008,0.68898,0.92284,0.83333,0.86376,0.56365,0.39455,0.63321,1.78486,0.4734,0,0.000878,0.000878,0.000878
36,252.823,0.60975,0.69736,0.67927,0.85533,0,0.97677,0.86667,0.90296,0.68582,0.93899,0.83333,0.8799,0.57286,0.39089,0.66136,1.73566,0.46292,0,0.000845,0.000845,0.000845
37,259.571,0.61755,0.68947,0.68974,0.86461,0,0.9879,0.86667,0.90788,0.67852,0.93034,0.81667,0.86979,0.56918,0.37544,0.66581,1.93148,0.45836,0,0.000812,0.000812,0.000812
38,268.181,0.57745,0.68811,0.6386,0.85731,0,0.99117,0.86667,0.90875,0.68386,0.97189,0.85,0.90808,0.51973,0.3702,0.7106,1.57004,0.45512,0,0.000779,0.000779,0.000779
39,275.018,0.59088,0.69196,0.65809,0.86468,0,1,0.85685,0.91277,0.70232,0.99024,0.83333,0.92193,0.51857,0.3579,0.73196,1.41538,0.45069,0,0.000746,0.000746,0.000746
40,281.875,0.59425,0.74303,0.6699,0.87032,0,0.95714,0.86667,0.91201,0.70444,0.99451,0.83333,0.92187,0.55176,0.35386,0.74867,1.36866,0.44884,0,0.000713,0.000713,0.000713
41,288.426,0.58162,0.69451,0.6307,0.86433,0,0.94618,0.86667,0.90862,0.71644,0.92743,0.85,0.91305,0.54418,0.33907,0.66541,1.33625,0.44866,0,0.00068,0.00068,0.00068
42,295.088,0.58137,0.67314,0.64254,0.85148,0,0.94579,0.87236,0.91073,0.72373,0.95058,0.81667,0.90188,0.55575,0.34254,0.64021,1.275,0.44828,0,0.000647,0.000647,0.000647
43,301.82,0.55612,0.74793,0.60789,0.86128,0,0.95649,0.88333,0.90789,0.72998,0.97379,0.81667,0.90427,0.57268,0.32189,0.59331,1.22363,0.44224,0,0.000614,0.000614,0.000614
44,308.596,0.57211,0.83384,0.62168,0.85198,0,0.96166,0.88333,0.89632,0.72139,0.94352,0.86667,0.90627,0.56455,0.31862,0.57421,1.2254,0.44153,0,0.000581,0.000581,0.000581
45,315.6,0.56867,0.67628,0.61382,0.84055,0,0.96839,0.88333,0.89585,0.71862,0.95012,0.86667,0.90659,0.55852,0.32115,0.56511,1.20987,0.44398,0,0.000548,0.000548,0.000548
46,322.777,0.5701,0.64626,0.60779,0.86729,0,0.96027,0.88333,0.89418,0.71603,0.94498,0.83333,0.88131,0.55321,0.33269,0.59135,1.20542,0.45023,0,0.000515,0.000515,0.000515
47,329.62,0.53952,0.63777,0.57955,0.85073,0,0.96076,0.88333,0.89589,0.7207,0.93911,0.85,0.88398,0.56832,0.33042,0.59613,1.21055,0.45205,0,0.000482,0.000482,0.000482
48,335.989,0.54677,0.63316,0.60098,0.83731,0,0.97806,0.88333,0.89856,0.72899,0.96164,0.83575,0.88698,0.58664,0.32172,0.58554,1.21719,0.45167,0,0.000449,0.000449,0.000449
49,342.419,0.51831,0.6496,0.56293,0.84257,0,0.98029,0.88333,0.89913,0.72556,0.94544,0.86643,0.8878,0.58415,0.32726,0.57211,1.21552,0.45056,0,0.000416,0.000416,0.000416
50,348.832,0.5209,0.61195,0.60745,0.84558,0,0.97981,0.88333,0.89827,0.72126,0.94597,0.87548,0.88753,0.58333,0.32673,0.5637,1.20246,0.45024,0,0.000383,0.000383,0.000383
51,354.944,0.51698,0.70036,0.66718,0.82059,0,0.99437,0.86667,0.90082,0.72617,1,0.8813,0.90697,0.58797,0.3297,0.5822,1.19646,0.44968,0,0.00035,0.00035,0.00035
52,361.029,0.53296,0.59889,0.69679,0.81699,0,0.98141,0.88005,0.89923,0.7277,1,0.88325,0.90664,0.5735,0.33478,0.59105,1.21034,0.45169,0,0.000317,0.000317,0.000317
53,367.005,0.48618,0.60212,0.66756,0.82093,0,0.96816,0.86667,0.9006,0.72537,0.97951,0.88333,0.90449,0.57816,0.33926,0.58021,1.22277,0.45244,0,0.000284,0.000284,0.000284
54,373.745,0.47216,0.55941,0.63893,0.81691,0,0.91297,0.87422,0.9038,0.73416,0.94037,0.88333,0.89901,0.57065,0.33447,0.58594,1.22069,0.45117,0,0.000251,0.000251,0.000251
55,379.769,0.45475,0.59534,0.65406,0.79529,0,0.93336,0.85,0.90494,0.73298,0.94541,0.86593,0.89998,0.54093,0.33166,0.56361,1.2149,0.44966,0,0.000218,0.000218,0.000218
56,386.371,0.47689,0.58572,0.6387,0.81553,0,0.93592,0.85,0.91099,0.73214,0.94539,0.86566,0.90011,0.53836,0.33011,0.56694,1.20614,0.44878,0,0.000185,0.000185,0.000185
57,392.972,0.47267,0.57369,0.61222,0.81763,0,0.94767,0.85,0.91084,0.73761,0.92826,0.86261,0.88609,0.54902,0.325,0.57016,1.20928,0.44752,0,0.000152,0.000152,0.000152
58,398.899,0.46265,0.52939,0.59709,0.81346,0,0.95708,0.85,0.9114,0.74102,0.92827,0.86278,0.88559,0.54806,0.32327,0.57281,1.20606,0.44786,0,0.000119,0.000119,0.000119
59,405.163,0.43966,0.51734,0.59963,0.82198,0,0.95837,0.85,0.91221,0.7451,0.90618,0.86667,0.88483,0.55219,0.32134,0.57428,1.20975,0.44854,0,8.6e-05,8.6e-05,8.6e-05
60,411.307,0.45745,0.51197,0.58709,0.81586,0,0.95876,0.85,0.91186,0.74381,0.90624,0.86667,0.88458,0.55005,0.31976,0.57638,1.21691,0.44792,0,5.3e-05,5.3e-05,5.3e-05
