epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,11.327,0.84166,1.28805,1.77594,0.95386,0,0.69184,0.66667,0.66083,0.46472,0.69184,0.66667,0.65407,0.4797,0.45537,0.73164,28.1617,0.42695,0,0.000606061,0.000606061,0.000606061
2,20.6017,0.88011,1.31907,1.25517,0.93941,0,0.8644,0.6,0.71584,0.48449,0.86364,0.63338,0.73819,0.36085,0.54639,1.21154,8.40714,0.49646,0,0.00125173,0.00125173,0.00125173
3,30.4761,1.16732,1.95939,1.9419,1.0136,0,0.05994,0.71667,0.19725,0.08075,0.07249,0.86667,0.39957,0.18856,0.63646,1.77438,285.868,0.57912,0,0.00187539,0.00187539,0.00187539
4,40.0465,1.13474,1.58979,2.33093,1.04691,0,0.02649,0.31667,0.10821,0.0462,0.02649,0.31667,0.11612,0.0657,0.66839,2.91726,164.152,0.61823,0,0.001901,0.001901,0.001901
5,49.7962,1.20804,1.44844,2.06143,1.07014,0,0.06788,0.36667,0.03708,0.02129,0.06548,0.35,0.04207,0.01711,0.67237,2.78788,34.3123,0.61031,0,0.001868,0.001868,0.001868
6,59.8414,1.13689,1.3507,1.47866,1.05051,0,0.01617,0.61667,0.02958,0.01013,0.01617,0.61667,0.02808,0.01429,0.61374,2.56715,933.419,0.65927,0,0.001835,0.001835,0.001835
7,70.1525,1.11619,1.68511,1.2291,1.08721,0,0.02432,0.66667,0.02363,0.01315,0.0231,0.63333,0.02034,0.01123,0.60024,2.70284,319.783,0.61047,0,0.001802,0.001802,0.001802
8,79.7312,1.02122,1.42284,0.98921,1.05287,0,0.01961,0.76667,0.01768,0.01048,0.01876,0.73333,0.01588,0.00922,0.62446,3.4034,894.23,0.73099,0,0.001769,0.001769,0.001769
9,90.0057,0.93655,1.20602,0.91849,1.00546,0,0.03784,0.7,0.03393,0.01925,0.03659,0.68333,0.03189,0.01441,0.64226,1.91805,366.107,0.68908,0,0.001736,0.001736,0.001736
10,100.152,0.95325,1.23432,0.88956,1.0041,0,0.03402,0.55,0.02304,0.01218,0.03167,0.48333,0.01996,0.00952,0.7144,5.03745,1285.66,0.74478,0,0.001703,0.001703,0.001703
11,110.357,0.87991,1.07249,0.79281,0.96974,0,0.71838,0.71667,0.76222,0.50766,0.71838,0.71667,0.74531,0.47148,0.51621,1.50368,6.50255,0.53564,0,0.00167,0.00167,0.00167
12,120.061,0.90415,1.14922,0.83975,0.99815,0,0.80898,0.68333,0.7796,0.51983,0.85986,0.71588,0.77408,0.43676,0.54462,1.40515,6.88835,0.55332,0,0.001637,0.001637,0.001637
13,129.48,0.88601,1.07231,0.79325,0.98303,0,0.82949,0.7,0.76853,0.50489,0.79864,0.68333,0.74957,0.43965,0.5452,1.38124,4.65586,0.53251,0,0.001604,0.001604,0.001604
14,138.662,0.84607,1.12187,0.71213,0.9557,0,0.81008,0.71667,0.77193,0.521,0.77681,0.7,0.74707,0.46876,0.52746,1.08787,11.3773,0.51963,0,0.001571,0.001571,0.001571
15,148.43,0.85923,1.02031,0.70413,0.95859,0,0.8236,0.68333,0.79811,0.54993,0.8236,0.68333,0.79102,0.49827,0.52258,1.05434,27.9539,0.53098,0,0.001538,0.001538,0.001538
16,158.239,0.7737,0.88232,0.64692,0.95445,0,0.86931,0.78333,0.80748,0.55154,0.86931,0.78333,0.81103,0.5003,0.50816,0.93778,23.3538,0.51317,0,0.001505,0.001505,0.001505
17,168.143,0.79698,0.98879,0.66347,0.92332,0,0.90245,0.76667,0.81022,0.54951,0.85857,0.75,0.79715,0.43822,0.51071,0.82378,8.05453,0.53133,0,0.001472,0.001472,0.001472
18,177.693,0.79431,0.96367,0.62355,0.95418,0,0.91807,0.76667,0.82099,0.58972,0.91807,0.76667,0.8397,0.53852,0.4679,0.66588,11.1793,0.5177,0,0.001439,0.001439,0.001439
19,188.523,0.74654,0.92618,0.67109,0.9186,0,0.81868,0.75,0.80008,0.5673,0.81868,0.75,0.78761,0.49956,0.49603,0.78019,10.4844,0.53532,0,0.001406,0.001406,0.001406
20,198.048,0.76058,0.92607,0.61071,0.9292,0,0.91523,0.8,0.85865,0.63841,0.89516,0.78333,0.84306,0.48662,0.45396,0.66755,6.689,0.52588,0,0.001373,0.001373,0.001373
21,206.958,0.73368,0.83217,0.62186,0.94405,0,0.89056,0.81378,0.87458,0.66075,0.85597,0.76667,0.81736,0.49562,0.42014,0.69888,9.27472,0.51172,0,0.00134,0.00134,0.00134
